x,y,worst_lower,worst_upper,normal_lower,no_signal_upper,worst_theta,safe_margin,calls,interval_splits,angle_bound_complete
505,20,441.2417937447731,1500,441.2417937447731,0,6.219343995100325,499.5959036730937,63,0,0
505,25,419.9800154070258,1500,419.9800154070258,0,6.214329732926857,499.3702643259496,63,0,0
505,30,400.6929162677255,1500,400.6929162677255,0,6.209318056473728,499.0948144993991,63,0,0
505,40,367.041305005958,1500,367.041305005958,0,6.199303458072205,498.3948264799942,63,0,0
505,50,338.6742936710604,1500,338.6742936710604,0,6.18930218563291,497.4967708136804,63,0,0
530,0,482.6118102312994,1500,482.6118102312994,0,6.27365053868062,474.9992312237332,175,0,0
530,1,482.6188120166863,1500,482.6188120166863,0,6.272620147883455,474.9981126322158,175,0,0
530,2,482.6268413889433,1500,482.6268413889433,0,6.271589816593077,474.9950892955383,175,0,0
530,5,482.6570940822207,1500,482.6570940822207,0,6.268499201580859,474.9745912472492,91,0,0
530,10,481.0443045438582,1500,481.0443045438582,0,6.228442985168419,474.9023400772816,91,0,0
530,15,454.9797437365732,1500,454.9797437365732,0,6.223295331649022,474.7824973626291,63,0,0
530,20,431.6153854915722,1500,431.6153854915722,0,6.2181499274805,474.6150956708419,63,0,0
530,25,410.5541425229509,1500,410.5541425229509,0,6.213007043446988,474.4001804440184,63,0,0
530,30,391.4731473750352,1500,391.4731473750352,0,6.207866949534243,474.13780993724,63,0,0
530,40,358.2363780328387,1500,358.2363780328387,0,6.197596207517946,473.470999679746,63,0,0
530,50,330.2738327845855,1500,330.2738327845855,0,6.187339842169933,472.6153837862828,63,0,0
555,0,470.1124845566721,1500,470.1124845566721,0,6.272936756756496,449.9992315533714,175,0,0
555,1,470.1200680269848,1500,470.1200680269848,0,6.271879143245125,449.9981638067502,175,0,0
555,2,470.1287061371084,1500,470.1287061371084,0,6.270821594085128,449.9952778929887,175,0,0
555,5,470.1609472918193,1500,470.1609472918193,0,6.267649356303409,449.9757115252056,91,0,0
555,10,470.2335266680552,1500,470.2335266680552,0,6.22745721535336,449.9067437856326,91,0,0
555,15,445.1213391936748,1500,445.1213391936748,0,6.22217379817633,449.7923454250681,63,0,0
555,20,421.9540125537629,1500,421.9540125537629,0,6.216892813207045,449.6325447728859,63,0,0
555,25,401.1003489885123,1500,401.1003489885123,0,6.211614553107393,449.4273813623753,63,0,0
555,30,382.2319811518403,1500,382.2319811518403,0,6.206339309630069,449.1769058819218,63,0,0
555,40,349.4214893473936,1500,349.4214893473936,0,6.195799034433866,448.5402768520107,63,0,0
555,50,321.8728351356884,1500,321.8728351356884,0,6.185274299840963,447.7232835841252,63,0,0
580,0,457.6134067133862,1500,457.6134067133862,0,6.272184203292623,424.9992318543453,175,0,0
580,1,457.62161124046,1500,457.62161124046,0,6.271097890841468,424.9982105313434,175,0,0
580,2,457.6308989207132,1500,457.6308989207132,0,6.270011648126585,424.9954500908522,175,0,0
580,5,457.6652597899499,1500,457.6652597899499,0,6.266753363958401,424.9767343938031,175,0,0
580,10,457.7441807948057,1500,457.7441807948057,0,6.261324523457317,424.9107646558348,219,0,0
580,15,435.2186359769228,1500,435.2186359769228,0,6.220991415451674,424.8013375979925,91,0,0
580,20,412.2562512685153,1500,412.2562512685153,0,6.215567527905491,424.6484780159346,63,0,0
580,25,391.6175685141044,1500,391.6175685141044,0,6.210146592734273,424.4522205153579,63,0,0
580,30,372.9686554839043,1500,372.9686554839043,0,6.204728925854448,424.2126094728853,63,0,0
580,40,340.5963517909257,1500,340.5963517909257,0,6.193904654785741,423.6035528122438,63,0,0
580,50,313.471350703279,1500,313.471350703279,0,6.183097217128124,422.8218562945132,63,0,0
605,0,445.1146160302571,1500,445.1146160302571,0,6.271389632007887,399.9992321302382,175,0,0
605,1,445.1234842703913,1500,445.1234842703913,0,6.270273021076761,399.9982533622355,175,0,0
605,2,445.133465758985,1500,445.133465758985,0,6.269156485884568,399.995607939048,175,0,0
605,5,445.170088541852,1500,445.170088541852,0,6.265807362494305,399.9776720282605,175,0,0
605,10,445.2533805336443,1500,445.2533805336443,0,6.2602272637954,399.9144505281372,91,0,0
605,15,425.2696876537987,1500,425.2696876537987,0,6.219743096881696,399.8095807951701,91,0,0
605,20,402.5206015000946,1500,402.5206015000946,0,6.214168376905023,399.6630846552985,63,0,0
605,25,382.1046821300718,1500,382.1046821300718,0,6.208596862832089,399.4749925724049,63,0,0
605,30,363.6823744289495,1500,363.6823744289495,0,6.203028897477905,399.2453436166849,63,0,0
605,40,331.7606710894252,1500,331.7606710894252,0,6.191904977478996,398.6615741474035,63,0,0
605,50,305.0694390828918,1500,305.0694390828918,0,6.180799330877245,397.9122591785127,63,0,0
630,0,432.6161567028241,1500,432.6161567028241,0,0.01263588325891787,374.9992323840596,175,0,0
630,1,432.6257349724269,1500,432.6257349724269,0,6.269400777540278,374.9982927666684,175,0,0
630,2,432.6364583030222,1500,432.6364583030222,0,6.268252213610401,374.9957531595137,175,0,0
630,5,432.6754973961834,1500,432.6754973961834,0,6.264807046728629,374.9785346559395,175,0,0
